ensembl_id	ctrl-1	ctrl-2	ctrl-3	ctrl-4	ctrl-5	cyt-1	cyt-2	cyt-3	cyt-4	cyt-5
ENSG00000005189.15	1508	1438	887	1160	2019	720	1411	1472	1068	1357
ENSG00000005194.10	5848	4387	2877	3757	6005	2640	5416	5538	4207	4604
ENSG00000005206.11	12364	8075	4807	7781	12384	4815	8931	10225	8240	8801
ENSG00000005238.15	1066	693	404	502	844	717	1287	1201	1015	990
ENSG00000005243.5	6	3	3	3	8	3	9	4	8	13
ENSG00000005249.8	2066	1867	1563	2056	3368	804	1726	1990	1592	1873
ENSG00000005302.13	5693	3903	2863	2951	4624	1857	4240	4820	2919	3045
ENSG00000005339.8	16465	10672	8057	8591	14566	7926	16282	16150	11517	11975
ENSG00000005379.11	2687	1911	1042	2016	3567	965	1886	1783	1737	1915
ENSG00000005381.6	1	0	0	0	0	0	0	2	0	2
ENSG00000005421.4	417	180	160	122	174	256	340	400	318	276
ENSG00000005436.9	2572	1813	1365	1501	2381	940	2024	2000	1386	1492
ENSG00000005448.12	2244	1595	1022	1501	2486	884	1543	1519	1393	1457
ENSG00000005469.7	4546	3840	2733	2144	3468	1137	3338	3551	1686	1979
ENSG00000005471.11	2323	1537	1133	1272	2142	1278	2796	2776	2243	2411
ENSG00000005483.15	9258	6984	5352	5403	9158	4061	10026	10427	6300	6835
ENSG00000005486.12	16873	10852	7765	9840	15234	7330	13392	14297	11045	11009
ENSG00000005513.9	266	161	90	160	310	53	51	41	122	160
ENSG00000005700.10	10533	7474	5696	5155	8057	5156	11395	12018	7063	7355
ENSG00000005801.12	3093	2068	1281	1597	3162	1453	2530	2494	2021	2247
ENSG00000005810.13	9984	6614	5651	5073	7677	7565	16393	16174	10588	10697
ENSG00000005812.6	7915	5505	3942	4264	7111	2895	6679	6858	3752	4370
ENSG00000005844.13	111	94	45	59	122	40	158	160	98	102
ENSG00000005882.7	1630	1121	785	951	1498	686	1322	1272	1095	1085
ENSG00000005884.13	3605	2144	1573	1770	2771	2587	4662	5326	3964	3860
ENSG00000005889.11	8803	5809	4147	4565	7159	3348	7486	8041	4729	5041
ENSG00000005893.11	23487	15905	11491	11997	18618	10631	26185	26016	13920	14796
ENSG00000005955.8	10255	7136	4938	6110	9904	4044	7835	8038	5569	6170
ENSG00000005961.13	102	51	32	55	96	11	16	22	39	30
ENSG00000005981.8	121	79	72	105	156	111	325	306	189	179
ENSG00000006007.7	21176	13263	9754	10027	14890	8274	16860	17946	10102	10302
ENSG00000006015.13	1210	1005	550	893	1442	519	1038	1139	989	1111
ENSG00000006016.6	57	36	25	33	54	17	21	33	22	27
ENSG00000006025.7	1234	969	613	972	1695	757	1612	2069	1415	1580
ENSG00000006042.7	4525	3889	2688	2552	4190	1154	3302	3196	1737	2072
ENSG00000006047.8	111	61	47	74	108	50	23	24	87	65
ENSG00000006059.3	3	3	2	0	3	1	2	1	2	1
ENSG00000006062.9	999	631	432	525	997	572	931	1016	936	1015
ENSG00000006071.7	33506	25023	14113	19377	31165	10219	22736	22444	18906	21994
ENSG00000006074.4	0	0	0	0	0	0	0	0	0	0
ENSG00000006075.11	0	0	0	0	0	0	0	0	0	0
ENSG00000006114.11	11844	8881	6325	6581	11071	5750	13200	13633	8299	8788
ENSG00000006116.3	0	0	0	0	0	0	0	0	0	0
ENSG00000006118.10	32053	19781	12723	19007	30892	18104	31027	35478	27112	27221
ENSG00000006125.12	26789	20526	14893	16052	26886	10901	23963	25114	16920	18193
ENSG00000006128.7	0	0	0	0	0	0	0	1	0	0
ENSG00000006194.6	7760	5169	3428	4739	7949	2973	5725	5605	4272	4635
ENSG00000006210.6	4120	2039	1502	1545	2686	4443	9471	9536	6238	6467
ENSG00000006282.15	5419	4069	2538	3053	4827	1978	4400	4496	3269	3711
ENSG00000006283.13	2023	947	748	638	1119	667	1026	757	767	794
ENSG00000006327.9	2610	1670	1294	1782	2608	1669	3858	4375	2618	2775
ENSG00000006377.9	502	480	351	460	847	107	273	292	251	278
ENSG00000006432.11	7362	5087	3903	4364	7189	2910	6272	6230	4734	4991
ENSG00000006451.3	8301	6683	5009	4934	7903	2689	6693	7662	4191	4545
ENSG00000006453.9	6200	4504	3340	4316	6816	3599	8731	9614	5844	6181
ENSG00000006459.6	6683	4600	3751	3675	6103	4037	9358	9780	5983	6771
ENSG00000006468.9	5604	3224	2876	2132	3397	1260	2858	4272	1923	2080
ENSG00000006530.11	2423	1906	1278	1738	2851	995	2058	2085	1785	1887
ENSG00000006534.11	21	21	10	25	46	10	19	48	25	29
ENSG00000006555.6	2648	2119	1467	2002	3195	1458	3299	3314	2519	2826
ENSG00000006576.12	7313	4715	3678	4169	6586	1918	3838	4585	2784	3111
ENSG00000006606.4	1	0	0	0	0	0	0	0	0	0
ENSG00000006607.8	5772	3935	3096	3586	5729	2727	5588	6045	4326	4347
ENSG00000006611.11	20954	15525	10273	12496	20103	8373	22064	21735	14778	15706
ENSG00000006625.13	5160	3786	2905	3274	5327	2110	3836	3954	3117	3361
ENSG00000006634.3	2691	2384	1815	2330	4026	614	953	869	1027	1258
ENSG00000006638.7	50	33	15	41	68	22	21	30	38	48
ENSG00000006652.9	3493	2394	1733	1844	3084	2231	3605	4031	3435	3275
ENSG00000006659.8	3	5	7	4	7	124	197	180	216	147
ENSG00000006695.6	1922	1523	1159	1271	2042	908	2112	2401	1448	1550
ENSG00000006704.6	2312	1507	819	1569	2708	1187	2170	1738	1824	2032
ENSG00000006712.10	7570	5667	4030	5582	8650	3434	6221	6702	5909	5685
ENSG00000006715.11	18434	11983	9028	12005	19118	7408	17932	19005	10833	11740
ENSG00000006740.11	1761	1235	877	1072	1669	637	1065	1155	921	983
ENSG00000006744.13	6796	5081	3478	4597	7266	2146	4669	4734	4109	4310
ENSG00000006747.10	4299	3196	2383	2767	4670	1256	2489	2831	2699	2889
ENSG00000006756.11	3676	2773	1930	1820	2968	1948	4239	4178	2847	3064
ENSG00000006757.7	3529	2379	1704	2134	3331	1987	3972	4029	2665	2884
ENSG00000006788.7	0	0	0	0	0	0	0	0	0	0
ENSG00000006831.9	15921	11156	8694	9863	14871	6023	12304	13504	8941	9226
ENSG00000006837.6	246	167	129	173	348	133	331	316	173	226
ENSG00000007001.8	4	7	6	6	10	4	11	8	8	7
ENSG00000007038.6	51	36	25	56	69	17	41	18	33	51
ENSG00000007047.10	4477	2921	1967	2589	4318	1889	3753	3874	2902	2974
ENSG00000007062.7	18	13	8	1	11	1	4	6	10	6
ENSG00000007080.6	3143	2213	1443	2433	4042	1206	2381	2463	2071	2441
ENSG00000007129.13	0	0	0	0	0	0	0	0	0	0
ENSG00000007168.7	32928	23378	16373	19221	31608	14482	29954	31099	19372	20441
ENSG00000007171.12	6	2	2	0	3	3	6	4	5	8
ENSG00000007174.12	148	75	52	69	131	67	123	124	115	101
ENSG00000007202.10	17722	11712	8969	9542	15322	6402	13557	14131	10267	10805
ENSG00000007216.10	21	18	13	21	27	1	4	2	1	4
ENSG00000007237.13	0	2	0	0	0	0	0	0	0	0
ENSG00000007255.6	310	227	134	240	440	182	431	420	293	333
ENSG00000007264.9	2	2	0	2	1	0	0	1	3	0
ENSG00000007306.10	0	0	0	0	0	0	0	0	0	0
ENSG00000007312.8	0	0	0	0	0	0	0	0	0	0
ENSG00000007314.7	5	3	1	3	2	0	0	3	4	1
ENSG00000007341.14	2284	1686	1144	1328	2291	906	2346	2247	1429	1562
ENSG00000007350.12	0	0	0	0	1	2	0	1	1	4
ENSG00000007372.16	32096	26998	19038	24539	40160	16245	31206	35910	31966	31074
ENSG00000007376.3	4252	2434	1622	2476	3983	1707	2909	3012	2536	2576
ENSG00000007384.11	175	84	44	59	96	61	117	173	133	115
ENSG00000007392.12	7580	5329	3845	5192	8045	3248	6223	8291	5881	5887
ENSG00000007402.7	10434	7646	4787	5677	9932	3020	7314	7201	5682	6078
ENSG00000007516.9	4123	2179	1335	1650	2277	6341	14747	17638	7647	7430
ENSG00000007520.3	2618	1670	1276	1730	2821	1063	2276	2455	1797	1912
ENSG00000007541.10	10495	7335	4550	6528	9927	4251	8535	9518	7152	7488
ENSG00000007545.11	1152	781	502	652	1147	569	1021	1015	710	809
ENSG00000007866.14	1272	770	509	610	1055	503	944	836	671	757
ENSG00000007908.10	0	0	0	0	0	0	0	0	0	0
ENSG00000007923.11	5254	3735	2464	3712	6173	2178	4431	4410	3671	4000
ENSG00000007933.8	1	0	0	0	0	0	0	0	0	0
ENSG00000007944.10	1864	1078	763	765	1432	1061	1906	2152	1030	1228
ENSG00000007952.13	20	23	18	12	29	6	15	26	11	16
ENSG00000007968.6	2499	1876	1192	2018	3333	434	121	40	707	812
ENSG00000008018.8	10742	7511	5227	7224	11182	5192	11137	12218	8419	8955
ENSG00000008056.8	18660	11810	8751	10211	15146	7611	15429	15986	10166	10398
ENSG00000008083.9	4984	3426	2374	2535	4179	2086	4271	4646	3170	3127
ENSG00000008086.6	1089	869	726	624	979	661	1523	1776	1142	1090
ENSG00000008118.5	0	0	0	0	0	0	0	0	2	0
ENSG00000008128.18	168	93	64	98	173	70	129	188	117	136
ENSG00000008130.11	9450	6906	4623	6357	10085	2936	5844	6022	5176	5389
ENSG00000008196.8	458	265	228	271	484	296	358	371	455	474
ENSG00000008197.4	22	24	18	14	44	24	30	28	51	35
ENSG00000008226.15	16	11	7	9	11	5	15	20	18	22
ENSG00000008256.11	458	408	293	467	734	211	447	503	329	348
ENSG00000008277.10	1927	1412	1254	1735	3050	696	1127	1243	1246	1308
ENSG00000008282.3	6472	5175	4280	4276	6989	2367	5578	6191	3677	4056
ENSG00000008283.11	15987	11552	8273	10276	16366	6698	14662	15523	10421	11286
ENSG00000008294.16	16263	11635	7984	10716	17882	8488	17073	17440	11381	12835
ENSG00000008300.10	17614	10149	7218	9472	16572	8256	14173	14878	12975	14140
ENSG00000008311.10	770	622	519	640	1130	528	1107	1325	963	1005
ENSG00000008323.11	8150	5481	3507	4725	8447	3254	6738	6521	5075	5764
ENSG00000008324.6	1400	1025	838	908	1592	574	1132	1394	866	1057
ENSG00000008382.11	889	629	429	581	983	326	520	509	541	600
ENSG00000008394.8	8	3	2	2	3	0	0	0	1	1
ENSG00000008405.7	5098	3348	2751	3227	4903	2200	4563	5437	2842	3007
ENSG00000008438.4	6	5	4	8	18	7	5	8	9	12
ENSG00000008441.12	1414	974	727	869	1493	1181	2278	2527	2057	2260
ENSG00000008513.10	4167	2556	1425	1582	2841	2095	4734	5253	1683	1646
ENSG00000008516.12	26	16	6	20	15	85	127	168	112	87
ENSG00000008517.12	1	1	1	0	3	151	325	604	150	158
ENSG00000008710.13	30738	20233	12320	19031	35347	14860	26146	27572	24567	28927
ENSG00000008735.10	13069	7923	5496	7268	11418	7337	14850	14624	10851	11718
ENSG00000008838.13	11193	7657	5114	7439	12670	4833	9869	10902	8449	8825
ENSG00000008853.12	5109	3418	2082	3096	5459	2310	3609	3372	3417	3789
